Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;salchichas paty viena 190g;;;66,00 ;9.770,00 ;4.271,60 ;8.074,38 ;89,02 
;Salchichas Paty Viena x 6;;;38,00 ;4.700,00 ;2.325,00 ;3.884,30 ;67,07 
;Salsa Cesar dos anclas 350g;;;1,00 ;360,00 ;242,00 ;360,00 ;48,76 
;Salsa lista Fileto Arcor;;;4,00 ;600,00 ;306,68 ;495,87 ;61,69 
;Salsa Lista Pizza arcor;;;1,00 ;150,00 ;76,38 ;123,97 ;62,30 
;Salsa Lista Pizza Knorr 340g;;;9,00 ;1.365,00 ;504,00 ;1.128,10 ;123,83 
;Salsa Lista Pomarola arcor;;;1,00 ;150,00 ;75,38 ;123,97 ;64,46 
;Salsa Lista Pomarola Knorr 340g;;;12,00 ;1.700,00 ;916,00 ;1.404,96 ;53,38 
;Salsa Lista Portuguesa;;;10,00 ;1.340,00 ;561,90 ;1.107,44 ;97,09 
;Salsa Lista Portuguesa arcor;;;2,00 ;300,00 ;152,38 ;247,93 ;62,71 
;Salsa lista TUCO Arcor;;;3,00 ;450,00 ;230,04 ;371,90 ;61,67 
;SALVADO FARGO 350G;;;15,00 ;4.770,00 ;2.132,00 ;3.942,15 ;84,90 
;soda social SIFON descartable;;;127,00 ;15.430,00 ;5.715,00 ;12.752,07 ;123,13 
;Sopa Familiar Pollos con fideo KNORR;;;1,00 ;130,00 ;68,00 ;107,44 ;58,00 
;Sopa Knorr Vegetales con Fideos 107.5;;;5,00 ;600,00 ;325,00 ;495,87 ;52,57 
;Spaghetti Lucchetti;;;17,00 ;1.990,00 ;923,07 ;1.658,51 ;79,67 
;Spaghetti Terrabussi 500g;;;12,00 ;1.280,00 ;609,52 ;1.057,85 ;73,55 
;Té boldo la virginia;;;3,00 ;610,00 ;262,80 ;504,13 ;91,83 
;te la virginia hierbas naturales x25 saquitos  35g;;;2,00 ;380,00 ;198,88 ;314,05 ;57,91 
;te verde la virginia;;;3,00 ;500,00 ;236,74 ;413,22 ;74,55 
;terrabusi dedalitos  500g;;;2,00 ;160,00 ;86,72 ;132,23 ;52,48 
;terrabusi moños 500g;;;1,00 ;110,00 ;56,39 ;90,91 ;61,21 
;Terrabusi Tirabuzon 500g;;;1,00 ;80,00 ;40,00 ;66,12 ;65,29 
;Toallitas Calipso 16 normal;;;8,00 ;1.120,00 ;600,00 ;925,62 ;54,27 
;Toallitas Calipso 8 normal;;;4,00 ;290,00 ;148,00 ;239,67 ;61,94 
;Toallitas Calipso 8 normal con alas;;;7,00 ;690,00 ;315,00 ;570,25 ;81,03 
;Tomate Triturado;;;1,00 ;195,00 ;106,00 ;161,16 ;52,03 
;Torta De Arroz RICEDIEX 100g;;;4,00 ;280,00 ;120,00 ;231,40 ;92,84 
;tostada de arroz leiva 150g;;;2,00 ;340,00 ;169,16 ;280,99 ;66,11 
;tostada de arroz leiva sin sal 150g;;;1,00 ;170,00 ;84,98 ;140,50 ;65,33 
;Tres patitos fosforos caja grande;;;12,00 ;1.300,00 ;679,00 ;1.074,38 ;58,23 
;Velas Ranchera x 4;;;1,00 ;130,00 ;70,74 ;107,44 ;51,88 
;VINAGRE BARBERA 500ML;;;16,00 ;1.790,00 ;898,84 ;1.479,34 ;64,58 
;vinagre de manzana barbera 500cc;;;3,00 ;360,00 ;186,36 ;297,52 ;59,65 
;yerba cruz de malta selecion especial 500g;;;3,00 ;930,00 ;454,53 ;768,59 ;69,10 
;yerba la cumbrecita 500g;;;3,00 ;660,00 ;358,14 ;545,45 ;52,30 
;ZANONI aceite girasol 900ml;;;11,00 ;3.190,00 ;1.411,52 ;2.636,36 ;86,77 
Total Rubro almacen;3.156,00 ;344.659,00 ;152.810,97 ;285.466,13 ;86,81 ;;;
articulos de limpieza (17);;;;;;;;
;Ala matic polvo 400g;;;6,00 ;600,00 ;276,00 ;495,87 ;79,66 
;Ala multiacción jabón blanco;;;3,00 ;210,00 ;96,00 ;173,55 ;80,79 
;Ariel expert + 800ml;;;3,00 ;1.180,00 ;535,00 ;975,21 ;82,28 
;bolsa de residuo nikito 45x60;;;4,00 ;700,00 ;330,00 ;578,51 ;75,31 
;bolsa residuo poliabi 60x90;;;2,00 ;260,00 ;114,00 ;214,88 ;88,49 
;Cepillos De Dientes colgate;;;1,00 ;100,00 ;51,90 ;82,64 ;59,24 
;Cepillos De Dientes oral B;;;2,00 ;160,00 ;77,80 ;132,23 ;69,96 
;cif antigrasa sache 450ml;;;4,00 ;320,00 ;172,00 ;264,46 ;53,76 
;Cif Baño ultra rápido sache 450ml;;;2,00 ;300,00 ;0,00 ;300,00 ;0,00 
;Cif crema 250 ml;;;9,00 ;1.070,00 ;562,00 ;884,30 ;57,35 
;Cif Gel 2 en 1 250ml;;;1,00 ;105,00 ;57,99 ;86,78 ;49,64 
;Cif Limpia Vidrios 450ml;;;17,00 ;2.350,00 ;1.177,51 ;1.942,15 ;64,94 
;Close up Mentol 90g;;;15,00 ;3.665,00 ;1.651,74 ;3.028,93 ;83,38 
;Desodorante Dove beauty finish;;;1,00 ;190,00 ;108,00 ;157,02 ;45,39 
;detergente ala crenoso aloe vera 750cc;;;1,00 ;180,00 ;67,27 ;148,76 ;121,14 
;detergente cif frutas citricas;;;6,00 ;990,00 ;516,00 ;818,18 ;58,56 
;Detergente Gigante aloe vera 750cc;;;1,00 ;230,00 ;118,89 ;190,08 ;59,88 
;Guantes plumita talle M;;;1,00 ;130,00 ;80,00 ;107,44 ;34,30 
;jabon liquido Suave miel y almendras 220ml;;;1,00 ;80,00 ;44,00 ;66,12 ;50,26 
;LAVANDINA AYUDIN 1L;;;6,00 ;720,00 ;330,00 ;595,04 ;80,32 
;Lavandina en gel ayudin  700ml;;;2,00 ;460,00 ;240,00 ;380,17 ;58,40 
;lavandina gigante comun 1L;;;5,00 ;650,00 ;355,00 ;537,19 ;51,32 
;lustramuebles suiza lavanda 360cm;;;1,00 ;230,00 ;125,63 ;190,08 ;51,30 
;MR MUSCULO vidrio y multiuso 450ml;;;2,00 ;160,00 ;88,08 ;132,23 ;50,13 
;off family 131g;;;1,00 ;360,00 ;180,00 ;297,52 ;65,29 
;papel higienico felpita  x 4;;;139,00 ;28.420,00 ;11.295,00 ;23.487,60 ;107,95 
;perfumina poett 900ml despertar de energia;;;5,00 ;730,00 ;300,00 ;603,31 ;101,10 
;perfumina poett 900ml musica primavera;;;1,00 ;130,00 ;60,00 ;107,44 ;79,06 
;Perfumina Poett de lavanda 900ml;;;13,00 ;2.250,00 ;720,20 ;1.859,50 ;158,19 
;Perfumina poett suavidad de algodon 900ml;;;5,00 ;750,00 ;280,00 ;619,83 ;121,37 
;Poett  perfumina alegra tu dia 900ml;;;10,00 ;1.520,00 ;510,00 ;1.256,20 ;146,31 
;Raid mata mosquito, moscas 222g;;;1,00 ;350,00 ;192,80 ;289,26 ;50,03 
;Raid Tabletas x 4 unidades;;;3,00 ;150,00 ;78,78 ;123,97 ;57,36 
;Rapiditas Bimbo Clásicas;;;1,00 ;270,00 ;90,00 ;223,14 ;147,93 
;rexona active fresh 125g;;;3,00 ;255,00 ;123,12 ;210,74 ;71,17 
;Rexona Efficient aerosol 48h;;;1,00 ;245,00 ;134,71 ;202,48 ;50,31 
;Rexona Efficient Talco 100g;;;5,00 ;800,00 ;438,00 ;661,16 ;50,95 
;Skip 400ml;;;4,00 ;610,00 ;331,56 ;504,13 ;52,05 
;Skip Jabon liquido grande 800ml;;;6,00 ;1.660,00 ;823,14 ;1.371,90 ;66,67 
Total Rubro articulos de limpieza;294,00 ;53.540,00 ;22.732,12 ;44.300,00 ;94,88 ;;;
barras cereales (301);;;;;;;;
;Barra de cereal Arcor 16g;;;1,00 ;20,00 ;11,00 ;16,53 ;50,26 
;Barrita frutos secos fit mix;;;178,00 ;18.195,00 ;0,00 ;18.195,00 ;0,00 
;Cereal mix  chocolate y almendras;;;26,00 ;1.820,00 ;989,82 ;1.504,13 ;51,96 
;Cereal mix barra yogurt vainilla;;;27,00 ;1.780,00 ;631,26 ;1.471,07 ;133,04 
;Cereal mix frutilla;;;116,00 ;9.040,00 ;4.733,70 ;7.471,07 ;57,83 
;Cereal mix Manzana light;;;64,00 ;5.180,00 ;1.776,32 ;4.280,99 ;141,00 
;Cereal Mix Original;;;87,00 ;6.955,00 ;3.577,40 ;5.747,93 ;60,67 
;Cereal Mix Pasion de Chocolate;;;78,00 ;6.260,00 ;1.506,96 ;5.173,55 ;243,31 
;Cereal Mix Vainilla;;;2,00 ;120,00 ;11,32 ;99,17 ;776,09 
;Cereal Mix Yoghurt frutilla;;;2,00 ;120,00 ;31,68 ;99,17 ;213,05 
;Cereal Mix Yoghurt Frutilla Light;;;150,00 ;11.995,00 ;4.287,00 ;9.913,22 ;131,24 
;Gallo chocobar de arroz 20 grs;;;17,00 ;1.190,00 ;393,38 ;983,47 ;150,01 
;TURRON ARCOR FIBRA;;;13,00 ;325,00 ;0,00 ;325,00 ;0,00 
Total Rubro barras cereales;761,00 ;63.000,00 ;17.949,84 ;55.280,33 ;207,97 ;;;
bebidas alcoholicas (23);;;;;;;;
;Amargo Obrero 950cm3;;;23,00 ;9.670,00 ;4.951,00 ;7.991,74 ;61,42 
;Andes criolla lata 473ml;;;1,00 ;185,00 ;85,00 ;152,89 ;79,87 
;andes lata vendimia 473cc;;;15,00 ;2.590,00 ;1.335,00 ;2.140,50 ;60,34 
;Aperol aperitivo 750 ml;;;1,00 ;900,00 ;205,00 ;743,80 ;262,83 
;Blenders Pride Petaca;;;246,00 ;56.110,00 ;27.067,38 ;46.371,90 ;71,32 
;Campari;;;3,00 ;2.590,00 ;942,12 ;2.140,50 ;127,20 
;CARPANO ROSSO vermouth;;;3,00 ;2.020,00 ;863,94 ;1.669,42 ;93,23 
;CERVEZA AMSTEL LAGER   1L;;;32,00 ;9.050,00 ;4.172,00 ;7.479,34 ;79,27 
;cerveza michelob ultra 410cc;;;7,00 ;1.260,00 ;456,47 ;1.041,32 ;128,12 
;Champaña Nieto Senetiner extra brut;;;2,00 ;2.180,00 ;1.200,00 ;1.801,65 ;50,14 
;Cinzano Rosso;;;4,00 ;2.200,00 ;1.200,00 ;1.818,18 ;51,52 
;Corona 710cm Grande;;;55,00 ;19.430,00 ;9.911,24 ;16.057,85 ;62,02 
;Cynar Orig 700;;;1,00 ;680,00 ;363,60 ;561,98 ;54,56 
;dr lemon con vodka 1 litro;;;2,00 ;320,00 ;176,20 ;264,46 ;50,09 
;Fernet  branca 750 ml;;;105,00 ;144.990,00 ;68.439,00 ;119.826,45 ;75,09 
;Fernet Branca x 450 cc;;;23,00 ;18.430,00 ;8.095,16 ;15.231,41 ;88,15 
;Fernet Branca x1000 cc;;;11,00 ;16.010,00 ;5.221,81 ;13.231,40 ;153,39 
;Gancia 950 cc;;;27,00 ;13.860,00 ;6.411,00 ;11.454,55 ;78,67 
;Gancia Red Bitter 750ml;;;1,00 ;250,00 ;137,19 ;206,61 ;50,60 
;GIN BOSQUE 500ML;;;1,00 ;1.670,00 ;912,00 ;1.380,17 ;51,33 
;HARD FRESH mango 310ml;;;5,00 ;850,00 ;465,00 ;702,48 ;51,07 
;HIELO x 2 KG;;;39,00 ;6.360,00 ;585,00 ;5.256,20 ;798,50 
;Martini Rosso 1L;;;1,00 ;790,00 ;336,93 ;652,89 ;93,78 
;New Age Blue Power;;;1,00 ;40,00 ;23,50 ;40,00 ;70,21 
;patagonia amber lager 355cc;;;12,00 ;2.680,00 ;1.167,36 ;2.214,88 ;89,73 
;patagonia isidra (sidra frutada);;;3,00 ;690,00 ;378,72 ;570,25 ;50,57 
;petaca Whisky Derna;;;40,00 ;7.120,00 ;3.190,80 ;5.884,30 ;84,41 
;Petaca whisky Don John  200cm;;;1,00 ;120,00 ;55,00 ;99,17 ;80,32 
;pronto shake;;;18,00 ;2.980,00 ;1.314,00 ;2.462,81 ;87,43 
;quilmes doble malta lata 410c;;;5,00 ;800,00 ;395,00 ;661,16 ;67,38 
;quilmes doble malte 1L;;;2,00 ;680,00 ;304,00 ;561,98 ;84,86 
;quilmes lata sin alcohol 473cc;;;5,00 ;650,00 ;334,05 ;537,19 ;60,81 
;Sidra 1888 500cc;;;6,00 ;2.280,00 ;778,50 ;1.884,30 ;142,04 
;Sidra 1888 750cc;;;4,00 ;2.840,00 ;1.354,16 ;2.347,11 ;73,33 
;sidra LUNA NEGRA 750ml;;;3,00 ;1.650,00 ;903,69 ;1.363,64 ;50,90 
;Toro clasico blanco 750 ml;;;9,00 ;2.250,00 ;1.467,00 ;2.250,00 ;53,37 
;vino eugenio bustos blanco dulce;;;5,00 ;2.250,00 ;1.191,95 ;1.859,50 ;56,01 
;vino las perdices malbec 2021;;;9,00 ;9.420,00 ;4.365,00 ;7.785,12 ;78,35 
;vino novecento raices malbec;;;12,00 ;4.320,00 ;2.112,00 ;3.570,25 ;69,05 
;vodka SERNOVA 700ml;;;8,00 ;8.350,00 ;3.520,00 ;6.900,83 ;96,05 
;Vodka SKY;;;2,00 ;1.600,00 ;760,00 ;1.322,31 ;73,99 
;Vodka Smirnoff;;;2,00 ;1.900,00 ;702,36 ;1.570,25 ;123,57 
;Whisky Blenders Pride 750ml;;;4,00 ;1.440,00 ;1.032,00 ;1.190,08 ;15,32 
Total Rubro bebidas alcoholicas;759,00 ;366.455,00 ;168.881,13 ;303.252,81 ;79,57 ;;;
caramelos (32);;;;;;;;
;alka chicles menta;;;11,00 ;220,00 ;88,00 ;181,82 ;106,61 
;caramelos clight pera;;;1,00 ;20,00 ;9,36 ;16,53 ;76,59 
;Celulosa zeus 100% natural x50;;;60,00 ;8.220,00 ;4.092,60 ;6.793,39 ;65,99 
;Chocolate Aguila 100g;;;5,00 ;1.735,00 ;885,00 ;1.433,88 ;62,02 
;chupetines pops con chicle;;;14,00 ;210,00 ;0,00 ;210,00 ;0,00 
;DRF Menta;;;15,00 ;390,00 ;120,00 ;322,31 ;168,60 
;Halls Free Verdes;;;7,00 ;420,00 ;220,50 ;347,11 ;57,42 
;halls menta;;;31,00 ;2.240,00 ;682,93 ;1.851,24 ;171,07 
;Menthoplus Cherry;;;48,00 ;3.050,00 ;230,88 ;2.520,66 ;991,76 
;Menthoplus Creamix Berries;;;4,00 ;320,00 ;159,24 ;264,46 ;66,08 
;menthoplus mentol;;;28,00 ;1.660,00 ;134,68 ;1.371,90 ;918,64 
;Menthoplus Strong;;;105,00 ;7.160,00 ;2.746,00 ;5.917,36 ;115,49 
;menthoplus ZERO cereza;;;88,00 ;6.830,00 ;3.442,40 ;5.644,63 ;63,97 
;menthoplus ZERO durazno;;;11,00 ;750,00 ;293,00 ;619,83 ;111,55 
;menthoplus ZERO mentol;;;48,00 ;3.340,00 ;1.382,72 ;2.760,33 ;99,63 
;Menthoplus Zero Strong;;;70,00 ;5.340,00 ;2.510,00 ;4.413,22 ;75,83 
;Mentitas 26g;;;12,00 ;660,00 ;306,60 ;545,45 ;77,90 
;mentitas frutas;;;1,00 ;12,00 ;5,92 ;9,92 ;67,52 
;mentos fresa;;;1,00 ;9,00 ;5,10 ;7,44 ;45,84 
;mentos frutas rojas;;;1,00 ;1,75 ;0,00 ;1,75 ;0,00 
;Mentos Menta;;;6,00 ;480,00 ;260,82 ;396,69 ;52,10 
;Multimint billiken mentol;;;10,00 ;380,00 ;191,00 ;314,05 ;64,42 
;push pop;;;3,00 ;60,00 ;33,06 ;49,59 ;49,99 
;Sugus Confitados x 50g;;;16,00 ;1.690,00 ;661,12 ;1.396,69 ;111,26 
;Tic Tac duo;;;20,00 ;1.240,00 ;440,00 ;1.024,79 ;132,91 
;Tic Tac Menta 16 g;;;22,00 ;1.760,00 ;858,00 ;1.454,55 ;69,53 
;Tic Tac Naranja;;;20,00 ;1.600,00 ;780,00 ;1.322,31 ;69,53 
;Twist Marshmallows;;;27,00 ;810,00 ;297,00 ;669,42 ;125,39 
Total Rubro caramelos;685,00 ;50.607,75 ;20.835,93 ;41.861,34 ;100,91 ;;;
cervezas (26);;;;;;;;
;Amstel 1L premio;;;3,00 ;840,00 ;339,96 ;694,22 ;104,20 
;Amstel Lager 473;;;173,00 ;25.950,00 ;8.577,34 ;21.446,27 ;150,03 
;Andes 1 Litro Rubia;;;42,00 ;13.220,00 ;5.524,68 ;10.925,62 ;97,76 
;Andes IPA Lata 473cc;;;136,00 ;21.760,00 ;9.215,36 ;17.983,47 ;95,15 
;Andes Ipa Litro;;;55,00 ;17.250,00 ;7.234,70 ;14.256,20 ;97,05 
;andes ipa roja 473cc;;;25,00 ;4.500,00 ;2.125,00 ;4.500,00 ;111,76 
;Andes Negra;;;11,00 ;3.080,00 ;1.446,50 ;2.545,46 ;75,97 
;Blest Honey lata 500;;;6,00 ;1.800,00 ;990,00 ;1.487,60 ;50,26 
;Blest Scotch lata;;;9,00 ;2.700,00 ;1.485,00 ;2.231,41 ;50,26 
;budweiser lata 410cm;;;66,00 ;8.840,00 ;3.571,26 ;7.305,79 ;104,57 
;Cerveza Amstel Lata 473cc;;;21,00 ;3.780,00 ;1.276,38 ;3.123,97 ;144,75 
;cerveza Blest ipa lata;;;13,00 ;3.900,00 ;2.171,00 ;3.223,14 ;48,46 
;cerveza Carlsverg lata;;;2,00 ;500,00 ;290,00 ;413,22 ;42,49 
;Cerveza Imperial Lager;;;98,00 ;28.440,00 ;10.782,12 ;23.061,92 ;113,89 
;Cerveza Miller LITRO;;;50,00 ;16.830,00 ;6.884,86 ;13.909,09 ;102,02 
;cerveza SALTA CAUTIVA  1LITRO;;;18,00 ;4.865,00 ;2.016,00 ;4.020,66 ;99,44 
;cerveza SALTA CAUTIVA 473cc;;;63,00 ;9.330,00 ;4.689,00 ;7.710,74 ;64,44 
;CERVEZA SALTA CAUTIVA ROJA 473cm;;;44,00 ;6.320,00 ;3.296,00 ;5.223,14 ;58,47 
;CERVEZA SANTA FE LITRO;;;183,00 ;49.910,00 ;20.586,00 ;41.247,93 ;100,37 
;cerveza temple scottish 473cc;;;1,00 ;160,00 ;86,00 ;132,23 ;53,76 
;Envases general;;;170,00 ;850,00 ;0,00 ;702,47 ;0,00 
;Grolsch 925ml;;;31,00 ;11.870,00 ;5.042,00 ;9.651,08 ;91,41 
;Heineken Ret x 1L;;;878,00 ;360.500,00 ;187.742,82 ;292.796,48 ;55,96 
;Imperial Amber Lager 1 L;;;51,00 ;15.870,00 ;6.784,38 ;12.896,53 ;90,09 
;Imperial APA 1000cc;;;21,00 ;6.300,00 ;3.091,08 ;5.206,61 ;68,44 
;Imperial Apa Lata 473cc;;;63,00 ;11.180,00 ;3.592,62 ;9.239,67 ;157,18 
;Imperial Golden lata 473;;;119,00 ;19.790,00 ;7.324,50 ;16.355,37 ;123,30 
;Imperial IPA 1 LITRO;;;67,00 ;20.710,00 ;8.761,00 ;16.838,84 ;92,20 
;Imperial IPA Lata 473cc;;;136,00 ;24.110,00 ;12.915,30 ;19.925,62 ;54,28 
;Imperial negra lata 473;;;21,00 ;3.570,00 ;654,36 ;2.950,41 ;350,89 
;Imperial roja lata 473cc;;;93,00 ;16.260,00 ;3.842,76 ;13.438,02 ;249,70 
;imperial rubia lata;;;102,00 ;17.130,00 ;6.411,00 ;14.157,02 ;120,82 
;Isenbeck lata 473cc;;;76,00 ;10.010,00 ;3.640,28 ;8.272,73 ;127,26 
;Lata Heineken 473 cm3;;;864,00 ;201.610,00 ;84.175,20 ;165.191,75 ;96,25 
;Latitud 33º Malbec;;;7,00 ;5.565,00 ;1.533,00 ;4.599,17 ;200,01 
;Levadura prensada;;;2,00 ;100,00 ;54,00 ;82,64 ;53,05 
;Miller Lata 473cc;;;126,00 ;23.590,00 ;9.590,58 ;19.495,87 ;103,28 
;Pan;;;55.397,00 ;57.011,00 ;30.468,35 ;47.113,97 ;54,63 
;Patagonia Hoppy Lager 730cc;;;3,00 ;870,00 ;432,00 ;719,01 ;66,44 
;Patagonia KUNE  473cc;;;48,00 ;8.630,00 ;3.416,94 ;7.132,23 ;108,73 
;Patagonia sendero sur 473;;;5,00 ;875,00 ;350,00 ;723,14 ;106,61 
;Patagonia Weisse 730cc;;;2,00 ;580,00 ;276,00 ;479,34 ;73,67 
;Quilmes Bock 473cc;;;26,00 ;3.870,00 ;1.950,00 ;3.198,35 ;64,02 
;SALTA CAUTIVA IPA TRIGO 473cc;;;2,00 ;300,00 ;126,28 ;247,93 ;96,34 
;Santa Fe Lata 473cc;;;739,00 ;112.410,00 ;46.366,53 ;92.900,82 ;100,36 
;Schneider 473ml;;;16,00 ;2.240,00 ;969,28 ;1.851,24 ;90,99 
;Schneider Lata 473ml;;;243,00 ;34.700,00 ;19.148,20 ;28.677,69 ;49,77 
;Schneider litro;;;63,00 ;17.820,00 ;8.278,92 ;14.466,94 ;74,74 
;Schneider Negra Lata 473cc;;;13,00 ;1.820,00 ;578,37 ;1.504,13 ;160,06 
;Schneider Roja Lata 473cc;;;5,00 ;700,00 ;222,45 ;578,51 ;160,06 
;Six pack Imperial IPA 473 cc;;;1,00 ;335,00 ;190,92 ;275,36 ;44,23 
;Six pack Imperial Rubia 473 cc;;;3,00 ;1.050,00 ;720,00 ;1.041,99 ;44,72 
;Six Pack Isenbeck 473 cc;;;2,00 ;370,00 ;207,84 ;302,78 ;45,68 
;stella artois lata  269cc;;;14,00 ;1.540,00 ;763,00 ;1.272,73 ;66,81 
;Stella Artois Noire 473;;;18,00 ;3.960,00 ;1.711,98 ;3.272,73 ;91,17 
;Warsteiner litro;;;60,00 ;17.530,00 ;8.980,00 ;14.487,60 ;61,33 
Total Rubro cervezas;60.506,00 ;1.239.601,00 ;562.899,10 ;1.017.488,84 ;80,76 ;;;
champagne (305);;;;;;;;
;topline fruta;;;18,00 ;750,00 ;394,02 ;619,84 ;57,31 
Total Rubro champagne;18,00 ;750,00 ;394,02 ;619,84 ;57,31 ;;;
chiclets (6);;;;;;;;
;Beldent chicle globo fresh sparks;;;24,00 ;1.580,00 ;0,00 ;1.580,00 ;0,00 
;Beldent Frutilla;;;37,00 ;2.440,00 ;319,31 ;2.016,53 ;531,53 
;beldent menta fresh sparks;;;147,00 ;10.140,00 ;0,00 ;10.140,00 ;0,00 
;Beldent Menta Fuerte;;;165,00 ;11.600,00 ;4.114,95 ;9.586,78 ;132,97 
;beldent Menta Suave;;;8,00 ;480,00 ;200,00 ;396,69 ;98,35 
;Jabon Dove 90g;;;6,00 ;740,00 ;366,00 ;611,57 ;67,10 
;Jabon Dove original 90g;;;3,00 ;540,00 ;303,00 ;446,28 ;47,29 
;Jabon liquido Granby 800ml;;;8,00 ;1.010,00 ;490,00 ;834,71 ;70,35 
;Sandwiche milanesa con huevo;;;16,00 ;3.060,00 ;0,00 ;2.528,93 ;0,00 
;Topline 7 Mandarina;;;56,00 ;3.970,00 ;1.620,60 ;3.280,99 ;102,46 
;Topline 7 Menta;;;162,00 ;12.640,00 ;5.633,20 ;10.446,28 ;85,44 
;Topline 7 Mentol;;;41,00 ;3.490,00 ;1.394,00 ;2.884,30 ;106,91 
;Topline 7 sandia;;;22,00 ;1.450,00 ;767,72 ;1.198,35 ;56,09 
;Topline 7 Strawberry;;;59,00 ;4.290,00 ;1.628,40 ;3.545,45 ;117,73 
;Topline 7 Strong;;;125,00 ;9.460,00 ;4.206,00 ;7.818,18 ;85,88 
;Topline 7 violet cherry;;;39,00 ;3.040,00 ;975,27 ;2.512,40 ;157,61 
;Topline Menta;;;23,00 ;950,00 ;503,47 ;785,12 ;55,94 
;topline strong;;;43,00 ;1.410,00 ;414,27 ;1.165,29 ;181,29 
Total Rubro chiclets;984,00 ;72.290,00 ;22.936,19 ;61.777,85 ;169,35 ;;;
chocolates (4);;;;;;;;
;barrita aguila x14g;;;43,00 ;2.890,00 ;1.529,44 ;2.388,43 ;56,16 
;Barrita kinder 12.5 g;;;60,00 ;2.780,00 ;1.020,00 ;2.780,00 ;172,55 
;Barrita kinder Maxi 21 g;;;106,00 ;8.940,00 ;3.841,40 ;7.388,43 ;92,34 
;Bocadito bonafide16g;;;27,00 ;1.350,00 ;727,65 ;1.115,70 ;53,33 
;bon o bon negro;;;3,00 ;30,00 ;10,50 ;24,79 ;136,13 
;bonafide chocmam 35g;;;37,00 ;3.500,00 ;1.554,00 ;2.892,56 ;86,14 
;Cadbury almendras 72 gr;;;7,00 ;1.960,00 ;407,40 ;1.619,84 ;297,60 
;Cadbury Almendras 72g;;;6,00 ;1.785,00 ;660,00 ;1.475,21 ;123,52 
;Cadbury Almendras 82g;;;4,00 ;1.440,00 ;680,00 ;1.190,08 ;75,01 
;Cadbury dairy milk 170g;;;2,00 ;200,00 ;190,80 ;165,29 ;(13,37)
;Cadbury tre sueños  25g;;;8,00 ;1.280,00 ;648,00 ;1.057,85 ;63,25 
;cadbury yogur frutilla 162g;;;4,00 ;2.400,00 ;1.312,00 ;1.983,47 ;51,18 
;Chesterfield box remix purple;;;18,00 ;4.320,00 ;82,44 ;4.320,00 ;5.140,17 
;Choc Jack Negro;;;15,00 ;1.500,00 ;742,50 ;1.239,67 ;66,96 
;Chocoarroz blanco;;;16,00 ;1.215,00 ;632,40 ;1.004,13 ;58,78 
;Chocolate Aguila 70% Cacao 150 grs;;;2,00 ;1.000,00 ;568,00 ;826,45 ;45,50 
;Chocolate Arcor Celofan Mani 25g;;;26,00 ;2.080,00 ;751,52 ;1.719,01 ;128,74 
;Chocolate Cadbury frutilla x27g;;;1,00 ;115,00 ;57,60 ;95,04 ;65,00 
;Chocolate Cadbury yogurt frutilla 80g;;;63,00 ;21.690,00 ;10.738,00 ;17.925,62 ;66,94 
;Chocolate Celofan Blanco;;;30,00 ;2.390,00 ;1.203,60 ;1.975,21 ;64,11 
;chocolate cofler bon o bon x 67 grs;;;9,00 ;2.010,00 ;1.061,10 ;1.661,16 ;56,55 
;Chocolate Cofler Chocolinas 55gr;;;7,00 ;1.590,00 ;846,78 ;1.314,05 ;55,18 
;Chocolate Familiar Pailas para taza 100g;;;2,00 ;280,00 ;114,00 ;231,41 ;102,99 
;Chocolate Shot 170 gr Tableta;;;10,00 ;5.600,00 ;2.630,90 ;4.628,10 ;75,91 
;Chocolate Shot 35g;;;107,00 ;13.590,00 ;6.718,00 ;11.231,41 ;67,18 
;Chocolatin negro Arco 8g;;;38,00 ;2.930,00 ;1.493,96 ;2.421,49 ;62,09 
;Cofler Aireado Blanco x 55 g;;;4,00 ;880,00 ;140,00 ;727,27 ;419,48 
;Cofler Aireado Combinado x 55 gr;;;22,00 ;5.250,00 ;1.910,40 ;4.338,84 ;127,12 
;Cofler Aireado con Almendras 55g;;;10,00 ;2.430,00 ;1.209,00 ;2.008,26 ;66,11 
;Cofler Aireado leche x 55g;;;6,00 ;1.320,00 ;675,48 ;1.090,91 ;61,50 
;cofler aireado tofi 70g;;;3,00 ;580,00 ;267,72 ;479,34 ;79,04 
;Cofler Almendras x 55g;;;7,00 ;1.530,00 ;786,78 ;1.264,46 ;60,71 
;cofler block blanco  38g;;;5,00 ;500,00 ;265,00 ;413,22 ;55,93 
;cofler block bombom  16g;;;11,00 ;690,00 ;154,55 ;570,25 ;268,97 
;cofler block mixto 170g;;;6,00 ;3.520,00 ;1.656,00 ;2.909,09 ;75,67 
;Cofler Block x 110g;;;206,00 ;52.520,00 ;27.096,66 ;43.404,96 ;60,19 
;Cofler Block x38g;;;127,00 ;13.215,00 ;6.355,65 ;10.921,49 ;71,84 
;Cofler Leche 55g;;;3,00 ;630,00 ;328,65 ;520,66 ;58,42 
;Cofler Rocklets 55g;;;9,00 ;2.010,00 ;943,58 ;1.661,16 ;76,05 
;Cofler tres placeres 55g;;;5,00 ;1.140,00 ;403,25 ;942,15 ;133,64 
;Conito  DAMA  dulce de leche;;;8,00 ;640,00 ;191,52 ;528,93 ;176,17 
